,c,semana,quantidade
1122,70002944,12,0.0
1123,70002944,13,0.0
1124,70002944,14,0.0
1125,70002944,15,0.0
1126,70002944,16,0.0
1127,70002944,17,0.0
1128,70002944,18,0.0
1129,70002944,19,0.0
1130,70002944,20,0.0
1131,70002944,21,0.0
1132,70002944,22,0.0
1133,70002944,23,0.0
1134,70002944,24,0.0
1135,70002944,25,0.0
1136,70002944,26,0.0
1137,70002944,27,0.0
1138,70002944,28,0.0
1139,70002944,29,0.0
1140,70002944,30,0.0
1141,70002944,31,0.0
1142,70002944,32,0.0
1143,70002944,33,0.0
1144,70002944,34,0.0
1145,70002944,35,0.0
1146,70002944,36,0.0
