,Ordem Venda / Transferência,data_substituir,semana
357,3820015618.0,2021-11-26,47
358,3820015619.0,2021-12-11,49
359,3820015629.0,2021-12-11,49
360,3820015632.0,2021-11-20,46
361,3820015634.0,2021-11-26,47
362,3820015636.0,2021-12-17,50
363,3820015659.0,2021-11-26,47
364,3820015660.0,2021-11-27,47
365,3820015665.0,2021-12-17,50
366,3820015667.0,2021-12-04,48
367,3820015668.0,2021-11-27,47
368,3820015669.0,2021-12-18,50
369,3820015673.0,2021-12-11,49
370,3820015678.0,2021-12-11,49
371,3820015680.0,2021-11-25,47
372,3820015682.0,2021-11-26,47
373,3820015684.0,2021-11-19,46
374,3820015686.0,2021-11-26,47
375,3820015687.0,2021-11-19,46
376,3820015708.0,2021-12-11,49
377,3820015713.0,2021-12-24,51
378,3820015717.0,2021-11-26,47
379,3820015723.0,2021-12-03,48
380,3820015733.0,2021-12-18,50
381,3820015735.0,2021-12-03,48
382,3820015740.0,2021-12-03,48
383,3820015741.0,2021-11-27,47
384,3820015745.0,2021-11-19,46
385,3820015747.0,2021-12-04,48
386,3820015749.0,2021-11-16,46
387,3820015755.0,2021-11-20,46
388,3820015756.0,2021-11-19,46
389,3820015757.0,2021-11-26,47
390,3820015758.0,2021-12-04,48
391,3820015759.0,2021-12-17,50
392,3820015762.0,2021-12-18,50
393,3820015765.0,2021-11-27,47
394,3820015766.0,2021-12-17,50
395,3820015767.0,2021-11-27,47
